,entrezgene,symbol
0,5649,RELN
1,5972,REN
2,9028,RHBDL1
3,54933,RHBDL2
4,84236,RHBDD1
5,162494,RHBDL3
6,60559,SPCS3
7,28972,SPCS1
8,162540,SPPL2C
9,57559,STAMBPL1
10,6768,ST14
11,10617,STAMBP
12,9789,SPCS2
13,6687,SPG7
14,5663,PSEN1
15,5694,PSMB6
16,646960,PRSS56
17,339906,PRSS42
18,345062,PRSS48
19,122706,PSMB11
20,5695,PSMB7
21,123228,SENP8
22,,
23,205564,SENP5
24,2191,FAP
25,26054,SENP6
26,23478,SEC11A
27,90701,SEC11C
28,57337,SENP7
29,84888,SPPL2A
30,56928,SPPL2B
31,121665,SPPL3
32,29843,SENP1
33,59343,SENP2
34,26168,SENP3
35,55617,TASP1
36,7064,THOP1
37,10942,PRSS21
38,1889,ECE1
39,9427,ECEL1
40,110599583,EEF1AKMT4-ECE2
41,9718,ECE2
42,84301,DDI2
43,117159,DCD
44,110599583,EEF1AKMT4-ECE2
45,9718,ECE2
46,1540,CYLD
47,56999,ADAMTS9
48,11093,ADAMTS13
49,170691,ADAMTS17
50,170692,ADAMTS18
51,11174,ADAMTS6
52,81792,ADAMTS12
53,170690,ADAMTS16
54,171019,ADAMTS19
55,4287,ATXN3
56,8314,BAP1
57,9509,ADAMTS2
58,9508,ADAMTS3
59,25825,BACE2
60,1179,CLCA1
61,9635,CLCA2
62,1803,DPP4
63,54878,DPP8
64,81794,ADAMTS10
65,140766,ADAMTS14
66,11173,ADAMTS7
67,9510,ADAMTS1
68,11096,ADAMTS5
69,92552,ATXN3L
70,23621,BACE1
71,11095,ADAMTS8
72,170689,ADAMTS15
73,9507,ADAMTS4
74,80070,ADAMTS20
75,10987,COPS5
76,11330,CTRC
77,56265,CPXM1
78,1504,CTRB1
79,1506,CTRL
80,1215,CMA1
81,23473,CAPN7
82,1513,CTSK
83,1521,CTSW
84,340351,AGBL3
85,123624,AGBL1
86,84735,CNDP1
87,55748,CNDP2
88,717,C2
89,629,CFB
90,1675,CFD
91,8192,CLPP
92,823,CAPN1
93,23581,CASP14
94,837,CASP4
95,1357,CPA1
96,715,C1R
97,1360,CPB1
98,10753,CAPN9
99,1990,CELA1
100,63036,CELA2A
101,836,CASP3
102,841,CASP8
103,1514,CTSL
104,1519,CTSO
105,1075,CTSC
106,10136,CELA3A
