Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P78509	RELN_HUMAN	reviewed	Reelin (EC 3.4.21.-)	RELN	Homo sapiens (Human)	3460
P00797	RENI_HUMAN	reviewed	Renin (EC 3.4.23.15) (Angiotensinogenase)	REN	Homo sapiens (Human)	406
O75783	RHBL1_HUMAN	reviewed	Rhomboid-related protein 1 (RRP) (EC 3.4.21.105) (Rhomboid-like protein 1)	RHBDL1 RHBDL	Homo sapiens (Human)	438
Q9NX52	RHBL2_HUMAN	reviewed	Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]	RHBDL2	Homo sapiens (Human)	303
Q8TEB9	RHBL4_HUMAN	reviewed	Rhomboid-related protein 4 (RRP4) (EC 3.4.21.105) (Rhomboid domain-containing protein 1) (Rhomboid-like protein 4)	RHBDD1 RHBDL4 HSD-50 HSD50	Homo sapiens (Human)	315
P58872	RHBL3_HUMAN	reviewed	Rhomboid-related protein 3 (EC 3.4.21.105) (Ventrhoid transmembrane protein)	RHBDL3 RHBDL4 VRHO	Homo sapiens (Human)	404
P61009	SPCS3_HUMAN	reviewed	Signal peptidase complex subunit 3 (EC 3.4.-.-) (Microsomal signal peptidase 22/23 kDa subunit) (SPC22/23) (SPase 22/23 kDa subunit)	SPCS3 SPC22 UNQ1841/PRO3567	Homo sapiens (Human)	180
Q9Y6A9	SPCS1_HUMAN	reviewed	Signal peptidase complex subunit 1 (EC 3.4.-.-) (Microsomal signal peptidase 12 kDa subunit) (SPase 12 kDa subunit)	SPCS1 SPC12 HSPC033	Homo sapiens (Human)	102
Q8IUH8	SPP2C_HUMAN	reviewed	Signal peptide peptidase-like 2C (SPP-like 2C) (SPPL2c) (EC 3.4.23.-) (Intramembrane protease 5) (IMP-5)	SPPL2C IMP5	Homo sapiens (Human)	684
Q96FJ0	STALP_HUMAN	reviewed	AMSH-like protease (AMSH-LP) (EC 3.4.19.-) (STAM-binding protein-like 1)	STAMBPL1 AMSHLP KIAA1373	Homo sapiens (Human)	436
Q9Y5Y6	ST14_HUMAN	reviewed	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	ST14 PRSS14 SNC19 TADG15	Homo sapiens (Human)	855
O95630	STABP_HUMAN	reviewed	STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase)	STAMBP AMSH	Homo sapiens (Human)	424
Q15005	SPCS2_HUMAN	reviewed	Signal peptidase complex subunit 2 (EC 3.4.-.-) (Microsomal signal peptidase 25 kDa subunit) (SPase 25 kDa subunit)	SPCS2 KIAA0102 SPC25	Homo sapiens (Human)	226
Q9UQ90	SPG7_HUMAN	reviewed	Paraplegin (EC 3.4.24.-) (Cell matrix adhesion regulator) (Spastic paraplegia 7 protein)	SPG7 CAR CMAR PGN	Homo sapiens (Human)	795
P49768	PSN1_HUMAN	reviewed	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1 AD3 PS1 PSNL1	Homo sapiens (Human)	467
P28072	PSB6_HUMAN	reviewed	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y)	PSMB6 LMPY Y	Homo sapiens (Human)	239
P0CW18	PRS56_HUMAN	reviewed	Serine protease 56 (EC 3.4.21.-)	PRSS56	Homo sapiens (Human)	603
Q7Z5A4	PRS42_HUMAN	reviewed	Serine protease 42 (EC 3.4.21.-) (Testis serine protease 2)	PRSS42 TESSP2	Homo sapiens (Human)	293
Q7RTY5	PRS48_HUMAN	reviewed	Serine protease 48 (EC 3.4.21.-) (Epidermis-specific serine protease-like protein)	PRSS48 ESSPL	Homo sapiens (Human)	328
A5LHX3	PSB11_HUMAN	reviewed	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	PSMB11	Homo sapiens (Human)	300
Q99436	PSB7_HUMAN	reviewed	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z)	PSMB7 Z	Homo sapiens (Human)	277
Q96LD8	SENP8_HUMAN	reviewed	Sentrin-specific protease 8 (EC 3.4.22.-) (Deneddylase-1) (NEDD8-specific protease 1) (Protease, cysteine 2) (Sentrin/SUMO-specific protease SENP8)	SENP8 DEN1 NEDP1 PRSC2 FKSG8	Homo sapiens (Human)	212
P0C7V7	SC11B_HUMAN	reviewed	Putative signal peptidase complex catalytic subunit SEC11B (EC 3.4.21.89) (SEC11 homolog B) (SEC11-like protein 2)	SEC11B SEC11L2 SPCS4B	Homo sapiens (Human)	166
Q96HI0	SENP5_HUMAN	reviewed	Sentrin-specific protease 5 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP5)	SENP5 FKSG45	Homo sapiens (Human)	755
Q12884	SEPR_HUMAN	reviewed	Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]	FAP	Homo sapiens (Human)	760
Q9GZR1	SENP6_HUMAN	reviewed	Sentrin-specific protease 6 (EC 3.4.22.-) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	SENP6 KIAA0797 SSP1 SUSP1 FKSG6	Homo sapiens (Human)	1112
P67812	SC11A_HUMAN	reviewed	Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18)	SEC11A SEC11L1 SPC18 SPCS4A	Homo sapiens (Human)	179
Q9BY50	SC11C_HUMAN	reviewed	Signal peptidase complex catalytic subunit SEC11C (EC 3.4.21.89) (Microsomal signal peptidase 21 kDa subunit) (SPase 21 kDa subunit) (SEC11 homolog C) (SEC11-like protein 3) (SPC21)	SEC11C SEC11L3 SPC21 SPCS4C	Homo sapiens (Human)	192
Q9BQF6	SENP7_HUMAN	reviewed	Sentrin-specific protease 7 (EC 3.4.22.-) (SUMO-1-specific protease 2) (Sentrin/SUMO-specific protease SENP7)	SENP7 KIAA1707 SSP2 SUSP2	Homo sapiens (Human)	1050
Q8TCT8	SPP2A_HUMAN	reviewed	Signal peptide peptidase-like 2A (SPP-like 2A) (SPPL2a) (EC 3.4.23.-) (Intramembrane protease 3) (IMP-3) (Presenilin-like protein 2)	SPPL2A IMP3 PSL2 PSEC0147	Homo sapiens (Human)	520
Q8TCT7	SPP2B_HUMAN	reviewed	Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-) (Intramembrane protease 4) (IMP-4) (Presenilin homologous protein 4) (PSH4) (Presenilin-like protein 1)	SPPL2B IMP4 KIAA1532 PSL1	Homo sapiens (Human)	592
Q8TCT6	SPPL3_HUMAN	reviewed	Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin homologous protein 1) (PSH1) (Presenilin-like protein 4)	SPPL3 IMP2 PSL4	Homo sapiens (Human)	384
Q9P0U3	SENP1_HUMAN	reviewed	Sentrin-specific protease 1 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP1)	SENP1	Homo sapiens (Human)	644
Q9HC62	SENP2_HUMAN	reviewed	Sentrin-specific protease 2 (EC 3.4.22.-) (Axam2) (SMT3-specific isopeptidase 2) (Smt3ip2) (Sentrin/SUMO-specific protease SENP2)	SENP2 KIAA1331	Homo sapiens (Human)	589
Q9H4L4	SENP3_HUMAN	reviewed	Sentrin-specific protease 3 (EC 3.4.22.-) (SUMO-1-specific protease 3) (Sentrin/SUMO-specific protease SENP3)	SENP3 SSP3 SUSP3	Homo sapiens (Human)	574
Q9H6P5	TASP1_HUMAN	reviewed	Threonine aspartase 1 (Taspase-1) (EC 3.4.25.-) [Cleaved into: Threonine aspartase subunit alpha; Threonine aspartase subunit beta]	TASP1 C20orf13	Homo sapiens (Human)	420
